Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,flow_start,FirstNPkt_size,Category,App_protocol,Web_service
23.45.42.52-131.202.240.150-80-50457-6,23.45.42.52,80,131.202.240.150,50457,6,31/03/2015 11:06:45 AM,681718,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.400646601674006,340859.0,426303.3646688705,642301.0,39417.0,0,0,0,0,0,642301.0,642301.0,0.0,642301.0,642301.0,0,0,0,0,32,64,1.4668822005580018,2.9337644011160036,0.0,0.0,0.0,0.0,0.0,2,0,0,0,3,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,996,317,0,32,0,0,0,0,0,0,0,0,skype_audio,1427825205894,132,7,7,Unknown
131.202.240.150-184.73.220.127-48078-80-6,131.202.240.150,48078,184.73.220.127,80,6,31/03/2015 11:07:01 AM,14582312,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2057286937764053,7291156.0,1.0230770220956875E7,1.4525403E7,56909.0,0,0,0,0,0,1.4525403E7,1.4525403E7,0.0,1.4525403E7,1.4525403E7,0,0,0,0,32,64,0.06857623125880176,0.13715246251760352,0.0,0.0,0.0,0.0,0.0,1,0,0,0,3,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,438,136,0,32,0,0,0,0,1.4468494E7,0.0,1.4468494E7,1.4468494E7,unknown,1427825221530,198,7,7,Unknown
131.202.240.150-184.73.220.127-48078-80-6,131.202.240.150,48078,184.73.220.127,80,6,31/03/2015 11:07:16 AM,429549,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,4.656046225226924,429549.0,0.0,429549.0,429549.0,429549.0,429549.0,0.0,429549.0,429549.0,0,0,0,0,0,0,0,0,0,64,0,4.656046225226924,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,438,0,0,32,0,0,0,0,0,0,0,0,unknown,1427825221530,198,7,7,Unknown
131.202.240.150-23.67.250.97-44615-80-6,131.202.240.150,44615,23.67.250.97,80,6,31/03/2015 11:07:05 AM,16758883,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17900954377448663,8379441.5,1.1798297968520056E7,1.6722098E7,36785.0,0,0,0,0,0,1.6722098E7,1.6722098E7,0.0,1.6722098E7,1.6722098E7,0,0,0,0,32,64,0.05966984792482888,0.11933969584965776,0.0,0.0,0.0,0.0,0.0,1,0,0,0,3,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,237,508,0,32,0,0,0,0,1.6685313E7,0.0,1.6685313E7,1.6685313E7,unknown,1427825225114,198,7,7,Unknown
131.202.240.150-54.210.92.215-36527-80-6,131.202.240.150,36527,54.210.92.215,80,6,31/03/2015 11:07:12 AM,14343729,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20915063300484832,7171864.5,1.006556815656148E7,1.4289296E7,54433.0,0,0,0,0,0,1.4289296E7,1.4289296E7,0.0,1.4289296E7,1.4289296E7,0,0,0,0,32,64,0.06971687766828277,0.13943375533656555,0.0,0.0,0.0,0.0,0.0,1,0,0,0,3,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1140,166,0,32,0,0,0,0,1.4234863E7,0.0,1.4234863E7,1.4234863E7,unknown,1427825232090,198,7,7,Unknown
131.202.240.150-54.210.92.215-36527-80-6,131.202.240.150,36527,54.210.92.215,80,6,31/03/2015 11:07:26 AM,109653,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,18.239355056405206,109653.0,0.0,109653.0,109653.0,109653.0,109653.0,0.0,109653.0,109653.0,0,0,0,0,0,0,0,0,0,64,0,18.239355056405206,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1140,0,0,32,0,0,0,0,0,0,0,0,unknown,1427825232090,198,7,7,Unknown
131.202.240.150-23.67.250.97-44615-80-6,131.202.240.150,44615,23.67.250.97,80,6,31/03/2015 11:07:21 AM,4669784,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.42828533396833773,4669784.0,0.0,4669784.0,4669784.0,4669784.0,4669784.0,0.0,4669784.0,4669784.0,0,0,0,0,0,0,0,0,0,64,0,0.42828533396833773,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,237,0,0,32,0,0,0,0,0,0,0,0,unknown,1427825225114,198,7,7,Unknown
131.202.240.150-54.225.95.177-36933-443-6,131.202.240.150,36933,54.225.95.177,443,6,31/03/2015 11:07:12 AM,19105846,2,3,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,1.6225400330349151,0.26170000532821214,4776461.5,6611302.889399461,1.405E7,77.0,1.4107798E7,1.4107798E7,0.0,1.4107798E7,1.4107798E7,1.9048125E7,9524062.5,6400642.19495298,1.405E7,4998125.0,0,0,0,0,64,96,0.10468000213128484,0.15702000319692727,0.0,31.0,5.166666666666667,12.655697004379753,160.16666666666666,1,0,0,1,5,0,0,0,1.0,6.2,0.0,10.333333333333334,0,0,0,0,0,0,0,0,0,6,716,136,0,32,0,0,0,0,1.427825239496293E15,9893980.917931972,1.427825246492394E15,1.427825232500192E15,skype_audio,1427825232442,264,7,91,Unknown
131.202.240.150-107.21.98.35-57264-443-6,131.202.240.150,57264,107.21.98.35,443,6,31/03/2015 11:07:12 AM,19188191,2,3,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,1.6155769973313274,0.26057693505343993,4797047.75,6648453.280014551,1.4128003E7,80.0,1.4183299E7,1.4183299E7,0.0,1.4183299E7,1.4183299E7,1.9132975E7,9566487.5,6450957.08507509,1.4128003E7,5004972.0,0,0,0,0,64,96,0.10423077402137595,0.15634616103206395,0.0,31.0,5.166666666666667,12.655697004379753,160.16666666666666,1,0,0,1,5,0,0,0,1.0,6.2,0.0,10.333333333333334,0,0,0,0,0,0,0,0,0,6,382,136,0,32,0,0,0,0,9.518834948829922E14,8.243552836774918E14,1.427825246858436E15,5004812.0,skype_audio,1427825232730,264,7,91,Unknown
131.202.240.150-107.21.98.35-57264-443-6,131.202.240.150,57264,107.21.98.35,443,6,31/03/2015 11:07:31 AM,63001,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,31.745527848764304,63001.0,0.0,63001.0,63001.0,63001.0,63001.0,0.0,63001.0,63001.0,0,0,0,0,0,0,0,0,0,64,0,31.745527848764304,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,382,0,0,32,0,0,0,0,0,0,0,0,unknown,1427825232730,264,7,91,Unknown
